continent,location,population,last_updated_date,total_cases,total_deaths,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
Asia,Afghanistan,41128772,04-08-2024 00:00,235214,7998,0,0,0,0,5796.468,0,0,197.098,0,0
Europe,Albania,2842318,04-08-2024 00:00,335047,3605,0,0,0,0,118491.02,0,0,1274.926,0,0
Africa,Algeria,44903228,04-08-2024 00:00,272139,6881,18,2.571,0,0,5984.05,0.396,0.057,151.306,0,0
Oceania,American Samoa,44295,04-08-2024 00:00,8359,34,0,0,0,0,172831.6,0,0,702.988,0,0
Europe,Andorra,79843,04-08-2024 00:00,48015,159,0,0,0,0,602280.44,0,0,1994.431,0,0
Africa,Angola,35588996,04-08-2024 00:00,107481,1937,0,0,0,0,3016.162,0,0,54.357,0,0
North America,Anguilla,15877,04-08-2024 00:00,3904,12,0,0,0,0,274890.88,0,0,844.951,0,0
North America,Antigua and Barbuda,93772,04-08-2024 00:00,9106,146,0,0,0,0,98071.1,0,0,1572.412,0,0
South America,Argentina,45510324,04-08-2024 00:00,10101218,130663,54,7.714,1,0.143,222455.06,1.189,0.17,2877.538,0.022,0.003
Asia,Armenia,2780472,04-08-2024 00:00,452273,8777,0,0,0,0,156991.11,0,0,3046.635,0,0
North America,Aruba,106459,04-08-2024 00:00,44224,292,0,0,0,0,410271.62,0,0,2708.921,0,0
Oceania,Australia,26177410,04-08-2024 00:00,11861161,25236,0,0,0,0,452699,0,0,963.17,0,0
Europe,Austria,8939617,04-08-2024 00:00,6082444,22534,15,2.143,0,0,671004.9,1.655,0.236,2485.912,0,0
Asia,Azerbaijan,10358078,04-08-2024 00:00,835757,10353,63,9,0,0,81178.445,6.119,0.874,1005.604,0,0
North America,Bahamas,409989,04-08-2024 00:00,39127,849,0,0,0,0,98421.81,0,0,2135.612,0,0
Asia,Bahrain,1472237,04-08-2024 00:00,696614,1536,0,0,0,0,454276.25,0,0,1001.657,0,0
